mode,gamma,delivery_start,raw_cost,D_ch_norm,D_dis_norm,total_charge_MWh,total_discharge_MWh,sat_hours,sat_MWh
dispatchability,0.0,2018-07-30 00:00:00+00:00,,33.82401450118752,34.691630030980804,20.933619482322545,19.567745899860654,1,0.7480934260652379
dispatchability,0.0001,2018-07-30 00:00:00+00:00,,6.633187917941816,7.682606835493739,16.823785952029958,15.848701241385843,1,0.7371018500596151
dispatchability,0.0005,2018-07-30 00:00:00+00:00,,4.43375829451462,5.158201335207296,15.93153536913934,15.038279980821223,1,0.731378737033761
dispatchability,0.001,2018-07-30 00:00:00+00:00,,4.04163413094179,4.391001128824444,15.833523888596297,14.944342399981295,1,0.7253042554273017
dispatchability,0.005,2018-07-30 00:00:00+00:00,,3.133282253408434,2.711994284321914,15.710817253010534,14.80909589959885,1,0.6981532728607693
dispatchability,0.01,2018-07-30 00:00:00+00:00,,2.6613623372191113,1.9451158601080154,13.780661917643387,13.054422785029267,1,0.6840724702006775
single-price,0.0,2018-07-31 00:00:00+00:00,1319.2791249343823,0.0,0.0,8.421052631578949,7.6,0,4.440892098500626e-16
single-price,0.0001,2018-07-31 00:00:00+00:00,1319.2791249142579,6.781683628507552e-09,1.3605195694814317e-10,8.421052634561219,7.600000002590567,0,6.596470840185952e-10
single-price,0.0005,2018-07-31 00:00:00+00:00,1319.2791249334355,1.231949818614866e-10,5.085044999167157e-12,8.42105263163138,7.60000000004357,0,1.631569134910302e-11
single-price,0.001,2018-07-31 00:00:00+00:00,1319.2791249286317,1.4658130608755285e-08,4.431523750319256e-11,8.421052632579318,7.6000000008561095,0,2.2622353431196487e-10
single-price,0.005,2018-07-31 00:00:00+00:00,1319.279125116215,2.1107221231850284e-08,3.012559243328836e-10,8.421052638224854,7.6000000057507515,0,1.4421481525819912e-09
single-price,0.01,2018-07-31 00:00:00+00:00,1319.2791249948164,9.04454856575409e-09,1.4767542087338845e-11,8.421052631850173,7.600000000231622,0,7.163462615778749e-11
dual-price,0.0,2018-07-31 00:00:00+00:00,2655.5260655824636,3.366677569581549,3.227004973560599,8.682396199777454,9.396529189260729,5,1.7966361217555535
dual-price,0.0001,2018-07-31 00:00:00+00:00,2655.5260645176904,3.3666775094359287,3.2270049821646825,8.682396133614542,9.39652914359302,5,1.7966361544215972
dual-price,0.0005,2018-07-31 00:00:00+00:00,2655.0427956026833,3.315266009353293,3.214086693314634,8.632012088260307,9.351360835206462,5,1.798950339549508
dual-price,0.001,2018-07-31 00:00:00+00:00,2656.1818603124584,3.2454086551452668,3.2030362884176764,8.579266295039611,9.30402878043734,5,1.8010182983826595
dual-price,0.005,2018-07-31 00:00:00+00:00,2656.9215428317675,3.2012543544044765,3.2033010053792887,8.535929383127531,9.265379271722084,5,1.804543825195793
dual-price,0.01,2018-07-31 00:00:00+00:00,2656.918346016949,3.197974049094371,3.205316074827174,8.53188308647881,9.26186671233324,5,1.8056058206402916
dispatchability,0.0,2018-07-31 00:00:00+00:00,,34.46729980763236,34.86242116220466,39.06712568337762,35.51430970799602,18,8.137902874884343
dispatchability,0.0001,2018-07-31 00:00:00+00:00,,6.193593169876536,6.354238299519636,33.09826012616935,30.11575830503851,18,8.27924110334503
dispatchability,0.0005,2018-07-31 00:00:00+00:00,,4.774295394941272,4.460530094795273,32.04079018138282,29.140422917811517,17,8.400550229807369
dispatchability,0.001,2018-07-31 00:00:00+00:00,,4.271234740048833,3.781469991979921,31.579947171902074,28.719445106541432,17,8.276349081163954
dispatchability,0.005,2018-07-31 00:00:00+00:00,,3.3121159862774743,2.4231366378829446,30.4137699990264,27.664537678330923,16,7.27960800338635
dispatchability,0.01,2018-07-31 00:00:00+00:00,,2.8442271035952658,1.839790457610803,25.348321277071967,23.779523132345044,13,6.1641210636865775
single-price,0.0,2018-08-01 00:00:00+00:00,1594.9391581820298,0.0,0.0,10.31578947368421,9.31,0,8.881784197001252e-16
single-price,0.0001,2018-08-01 00:00:00+00:00,1594.9391583204124,2.9345845963996896e-09,1.0638035083163304e-07,10.315789474350687,9.310000000383233,0,5.395193220872631e-10
single-price,0.0005,2018-08-01 00:00:00+00:00,1594.9391582062674,1.4031495518547747e-07,4.443047048833551e-08,10.315789474945525,9.310000000768929,0,9.14053549527389e-10
single-price,0.001,2018-08-01 00:00:00+00:00,1594.9391581746931,1.2189775525096263e-10,7.486427461871683e-09,10.31578947369993,9.310000000007332,0,1.3964898776529506e-11
single-price,0.005,2018-08-01 00:00:00+00:00,1594.9402144850735,2.49246340322978e-09,2.3019822540282966e-07,10.315789473616405,9.309999999938803,0,0.0
single-price,0.01,2018-08-01 00:00:00+00:00,1594.954325152421,9.888598929774677e-11,3.1251936766538035e-07,10.31578947358725,9.30999999991249,0,0.0
dual-price,0.0,2018-08-01 00:00:00+00:00,2683.5071324707824,3.0961137174604767,3.3612176725117258,11.885888247041366,11.053336012144644,12,2.317336801144986
dual-price,0.0001,2018-08-01 00:00:00+00:00,2683.5071382540395,3.0961149514729946,3.361216913471518,11.885888962705298,11.053336680970329,12,2.3173365335703595
dual-price,0.0005,2018-08-01 00:00:00+00:00,2683.469052750109,3.083668436876427,3.366014753796798,11.868941545248795,11.03798070856784,12,2.31808579629069
dual-price,0.001,2018-08-01 00:00:00+00:00,2683.409129313666,3.0647747661573055,3.373057271576204,11.84444063780549,11.015725863607159,12,2.3198414331940316
dual-price,0.005,2018-08-01 00:00:00+00:00,2683.4053528577883,3.0539931807359144,3.3200064593691216,11.882375134158675,11.047037629614163,12,2.326046662291719
dual-price,0.01,2018-08-01 00:00:00+00:00,2683.9652373206122,3.044007746636339,3.3149772532224144,11.88706822833853,11.043424415275574,12,2.3344859801422557
dispatchability,0.0,2018-08-01 00:00:00+00:00,,34.6459134230183,35.30325456530046,36.815513507262125,33.42412391419707,18,14.667691668745361
dispatchability,0.0001,2018-08-01 00:00:00+00:00,,6.991656239303022,7.364332827168436,31.10112681423838,28.276156333517577,19,7.844578071905765
dispatchability,0.0005,2018-08-01 00:00:00+00:00,,4.997750689346331,5.026368704628375,29.870614333772288,27.1982131975766,17,6.705088880465856
dispatchability,0.001,2018-08-01 00:00:00+00:00,,4.419875730837888,4.194716644824411,29.322864119999174,26.706873756986052,18,6.120727320584068
dispatchability,0.005,2018-08-01 00:00:00+00:00,,3.2808952760551158,2.5279915078434034,28.043061180880827,25.51686989027681,17,6.695798192787116
dispatchability,0.01,2018-08-01 00:00:00+00:00,,2.8044332854002665,1.863075093227506,23.171562244771437,21.832187589431395,17,5.006131813643632
single-price,0.0,2018-08-02 00:00:00+00:00,2247.5000839845547,0.0,0.0,4.210526315789474,3.8,0,2.220446049250313e-16
