price_model,k,box_lo,box_hi,delivery_start,total_charge_MWh,total_discharge_MWh,sat_hours,total_cost
dual,0,0.35,0.65,2018-01-14 00:00:00+00:00,10.051759822914747,9.188243908292797,18,4075.078198581994
single,0,0.05,0.95,2018-01-15 00:00:00+00:00,10.526315789473683,9.5,0,3942.240156374039
single,0,0.1,0.9,2018-01-15 00:00:00+00:00,10.526315789473683,9.5,0,3942.240156374039
single,0,0.15,0.85,2018-01-15 00:00:00+00:00,10.526315789473683,9.5,0,3942.240156374039
single,0,0.2,0.8,2018-01-15 00:00:00+00:00,10.526315789473683,9.5,0,3942.240156374039
single,0,0.25,0.75,2018-01-15 00:00:00+00:00,10.526315789473683,9.5,0,3942.240156374039
single,0,0.3,0.7,2018-01-15 00:00:00+00:00,10.526315789473683,9.5,0,3942.240156374039
single,0,0.35,0.65,2018-01-15 00:00:00+00:00,10.526315789473683,9.5,0,3942.240156374039
dual,0,0.05,0.95,2018-01-15 00:00:00+00:00,10.034707072659332,9.056395706576241,1,4077.374742636837
dual,0,0.1,0.9,2018-01-15 00:00:00+00:00,9.025814894996852,8.165640248511698,2,4072.1401718452494
dual,0,0.15,0.85,2018-01-15 00:00:00+00:00,8.908021173767354,7.84482156257592,4,4051.1984114107117
dual,0,0.2,0.8,2018-01-15 00:00:00+00:00,8.946349465936317,7.809822849175983,5,4052.9463348071067
dual,0,0.25,0.75,2018-01-15 00:00:00+00:00,10.465097463962687,9.093652652898427,7,4077.077283764296
dual,0,0.3,0.7,2018-01-15 00:00:00+00:00,10.509098731400854,9.304172731345302,7,4059.406027583571
dual,0,0.35,0.65,2018-01-15 00:00:00+00:00,14.204126235574348,11.888417297229918,13,4168.7658896732755
single,0,0.05,0.95,2018-01-16 00:00:00+00:00,10.74792243767313,9.7,0,4059.4548627287963
single,0,0.1,0.9,2018-01-16 00:00:00+00:00,10.74792243767313,9.7,0,4059.4548627287963
single,0,0.15,0.85,2018-01-16 00:00:00+00:00,10.74792243767313,9.7,0,4059.4548627287963
single,0,0.2,0.8,2018-01-16 00:00:00+00:00,10.74792243767313,9.7,0,4059.4548627287963
single,0,0.25,0.75,2018-01-16 00:00:00+00:00,10.74792243767313,9.7,0,4059.454862728796
single,0,0.3,0.7,2018-01-16 00:00:00+00:00,10.74792243767313,9.7,0,4059.454862728796
single,0,0.35,0.65,2018-01-16 00:00:00+00:00,10.74792243767313,9.7,0,4059.454862728796
dual,0,0.05,0.95,2018-01-16 00:00:00+00:00,10.935500962105493,9.751693945692786,1,4100.821275318578
dual,0,0.1,0.9,2018-01-16 00:00:00+00:00,10.594155672975633,9.353977563342672,6,4105.226273844591
dual,0,0.15,0.85,2018-01-16 00:00:00+00:00,10.533522888300539,9.254075172138737,9,4103.189183980812
dual,0,0.2,0.8,2018-01-16 00:00:00+00:00,10.545177021656354,9.22480144989619,10,4101.402558626574
dual,0,0.25,0.75,2018-01-16 00:00:00+00:00,10.76748437197272,9.379697621735302,14,4088.24146404322
dual,0,0.3,0.7,2018-01-16 00:00:00+00:00,10.8607300582058,9.369905648856582,14,4099.697760109053
